sep=,
"Time","Temp. Mandata","Temp. Ripresa","Temp. Saturazione","Temp. Esterna","SP Temp. Mand.","SP Temp. Mand. Comp.","Mod. V. Mandata","Mod. V. Ripresa"
2025-10-15 13:30:00,28.4 °C,20.8 °C,28.2 °C,15.4 °C,28 °C,28.0 °C,52,45
2025-10-15 14:00:00,25.7 °C,21.2 °C,25.2 °C,16.0 °C,28 °C,28.0 °C,59,51
2025-10-15 14:30:00,25.8 °C,21.2 °C,25.1 °C,16.0 °C,28 °C,28.0 °C,64,55
2025-10-15 15:00:00,27.9 °C,21.0 °C,27.6 °C,15.6 °C,28 °C,28.0 °C,57,47
2025-10-15 15:30:00,30.2 °C,21.2 °C,29.6 °C,15.3 °C,28 °C,28.0 °C,59,46
2025-10-15 16:00:00,31.2 °C,21.3 °C,30.7 °C,15.0 °C,28 °C,28.0 °C,63,55
2025-10-15 16:30:00,28.8 °C,21.4 °C,28.9 °C,14.8 °C,28 °C,28.0 °C,58,46
2025-10-15 17:00:00,25.7 °C,21.2 °C,25.7 °C,14.2 °C,28 °C,28.0 °C,62,52
2025-10-15 17:30:00,25.9 °C,21.1 °C,25.6 °C,13.9 °C,28 °C,28.0 °C,58,50
2025-10-15 18:00:00,28.7 °C,21.5 °C,29.2 °C,14.6 °C,28 °C,28.0 °C,60,48
2025-10-15 18:30:00,31.4 °C,21.6 °C,31.9 °C,14.1 °C,28 °C,28.0 °C,62,52
2025-10-15 19:00:00,31.2 °C,21.8 °C,31.8 °C,13.1 °C,28 °C,28.0 °C,57,44
2025-10-15 19:30:00,28.3 °C,21.8 °C,29.4 °C,11.5 °C,28 °C,28.0 °C,58,47
2025-10-15 20:00:00,18.3 °C,21.1 °C,16.5 °C,12.4 °C,28 °C,28.0 °C,0,0
2025-10-15 20:30:00,18.9 °C,21.2 °C,17.0 °C,12.7 °C,28 °C,28.0 °C,0,0
2025-10-16 08:30:00,25.8 °C,21.1 °C,27.6 °C,13.1 °C,28 °C,28.0 °C,57,45
2025-10-16 09:00:00,28.0 °C,21.5 °C,29.6 °C,13.5 °C,28 °C,28.0 °C,58,50
2025-10-16 09:30:00,31.0 °C,21.2 °C,32.9 °C,15.6 °C,28 °C,28.0 °C,59,46
2025-10-16 10:00:00,30.9 °C,21.1 °C,32.1 °C,16.3 °C,28 °C,28.0 °C,59,50
2025-10-16 10:30:00,28.3 °C,21.2 °C,29.0 °C,16.3 °C,28 °C,28.0 °C,62,53
2025-10-16 11:00:00,26.2 °C,21.1 °C,27.8 °C,17.0 °C,28 °C,28.0 °C,60,48
2025-10-16 11:30:00,26.3 °C,21.0 °C,28.3 °C,17.2 °C,28 °C,28.0 °C,65,58
2025-10-16 12:00:00,28.6 °C,21.4 °C,30.8 °C,18.0 °C,28 °C,28.0 °C,62,48
2025-10-16 12:30:00,30.8 °C,21.2 °C,32.5 °C,18.0 °C,28 °C,28.0 °C,58,48
2025-10-16 13:00:00,30.6 °C,21.1 °C,32.4 °C,18.5 °C,28 °C,28.0 °C,61,52
2025-10-16 13:30:00,29.1 °C,21.2 °C,30.9 °C,18.7 °C,28 °C,28.0 °C,60,54
2025-10-16 14:00:00,25.9 °C,21.3 °C,27.5 °C,18.8 °C,28 °C,28.0 °C,64,56
2025-10-16 14:30:00,25.4 °C,21.0 °C,27.0 °C,19.4 °C,28 °C,28.0 °C,62,48
2025-10-16 15:00:00,28.3 °C,21.5 °C,29.2 °C,18.2 °C,28 °C,28.0 °C,60,49
2025-10-16 15:30:00,31.1 °C,21.3 °C,31.1 °C,18.2 °C,28 °C,28.0 °C,65,58
2025-10-16 16:00:00,30.7 °C,21.3 °C,31.0 °C,17.6 °C,28 °C,28.0 °C,62,51
2025-10-16 16:30:00,27.5 °C,21.4 °C,28.1 °C,16.6 °C,28 °C,28.0 °C,62,50
2025-10-16 17:00:00,25.7 °C,22.0 °C,26.5 °C,15.9 °C,28 °C,28.0 °C,65,54
2025-10-16 17:30:00,25.2 °C,21.9 °C,26.6 °C,15.3 °C,28 °C,28.0 °C,63,56
2025-10-16 18:00:00,27.5 °C,21.6 °C,29.2 °C,14.9 °C,28 °C,28.0 °C,61,49
2025-10-16 18:30:00,30.0 °C,21.8 °C,32.5 °C,14.8 °C,28 °C,28.0 °C,60,48
2025-10-16 19:00:00,29.6 °C,22.3 °C,32.6 °C,14.8 °C,28 °C,28.0 °C,54,43
2025-10-16 19:30:00,27.7 °C,22.2 °C,30.6 °C,14.1 °C,28 °C,28.0 °C,54,43
2025-10-16 20:00:00,18.1 °C,21.2 °C,18.9 °C,14.6 °C,28 °C,28.0 °C,0,0
2025-10-16 20:30:00,18.0 °C,21.3 °C,18.5 °C,13.7 °C,28 °C,28.0 °C,0,0
2025-10-16 21:00:00,16.8 °C,20.7 °C,17.5 °C,12.0 °C,28 °C,28.0 °C,0,0
2025-10-16 21:30:00,16.5 °C,20.6 °C,17.4 °C,11.3 °C,28 °C,28.0 °C,0,0
2025-10-16 22:00:00,16.0 °C,20.1 °C,17.1 °C,10.9 °C,28 °C,28.0 °C,0,0
2025-10-16 22:30:00,15.5 °C,20.1 °C,16.1 °C,8.5 °C,28 °C,28.0 °C,0,0
2025-10-16 23:00:00,15.7 °C,20.1 °C,15.9 °C,9.0 °C,28 °C,28.0 °C,0,0
2025-10-16 23:30:00,15.7 °C,19.5 °C,15.2 °C,8.6 °C,28 °C,28.0 °C,0,0
2025-10-17 00:00:00,15.4 °C,19.6 °C,15.3 °C,7.5 °C,28 °C,28.1 °C,0,0
2025-10-17 00:30:00,15.3 °C,19.9 °C,15.2 °C,6.8 °C,28 °C,28.2 °C,0,0
2025-10-17 01:00:00,15.4 °C,20.0 °C,15.5 °C,7.2 °C,28 °C,28.2 °C,0,0
2025-10-17 01:30:00,15.3 °C,19.7 °C,15.6 °C,7.6 °C,28 °C,28.1 °C,0,0
2025-10-17 02:00:00,15.8 °C,20.1 °C,16.2 °C,7.2 °C,28 °C,28.2 °C,0,0
2025-10-17 02:30:00,15.8 °C,20.6 °C,15.9 °C,6.4 °C,28 °C,28.3 °C,0,0
2025-10-17 03:00:00,16.0 °C,20.7 °C,16.5 °C,6.6 °C,28 °C,28.3 °C,0,0
2025-10-17 03:30:00,16.2 °C,20.7 °C,16.7 °C,7.1 °C,28 °C,28.2 °C,0,0
2025-10-17 04:00:00,16.1 °C,20.6 °C,17.4 °C,7.7 °C,28 °C,28.1 °C,0,0
2025-10-17 04:30:00,16.4 °C,20.7 °C,17.8 °C,7.6 °C,28 °C,28.1 °C,0,0
2025-10-17 05:00:00,16.5 °C,20.8 °C,17.8 °C,7.9 °C,28 °C,28.0 °C,0,0
2025-10-17 05:30:00,16.5 °C,20.9 °C,17.7 °C,8.4 °C,28 °C,28.0 °C,0,0
2025-10-17 06:00:00,26.8 °C,21.9 °C,28.1 °C,9.5 °C,28 °C,28.0 °C,60,50
2025-10-17 06:30:00,29.4 °C,21.7 °C,30.3 °C,10.7 °C,28 °C,28.0 °C,59,48
2025-10-17 07:00:00,29.6 °C,21.5 °C,30.3 °C,12.1 °C,28 °C,28.0 °C,56,47
2025-10-17 07:30:00,27.4 °C,21.4 °C,27.4 °C,13.3 °C,28 °C,28.0 °C,61,53
2025-10-17 08:00:00,24.4 °C,21.6 °C,23.3 °C,14.7 °C,28 °C,28.0 °C,64,54
2025-10-17 08:30:00,24.5 °C,21.2 °C,23.6 °C,15.6 °C,28 °C,28.0 °C,66,56
2025-10-17 09:00:00,27.1 °C,21.2 °C,25.7 °C,15.6 °C,28 °C,28.0 °C,65,55
2025-10-17 09:30:00,29.5 °C,21.2 °C,29.3 °C,16.8 °C,28 °C,28.0 °C,64,53
2025-10-17 10:00:00,29.2 °C,21.2 °C,29.1 °C,16.2 °C,28 °C,28.0 °C,65,54
2025-10-17 10:30:00,26.6 °C,21.6 °C,27.1 °C,18.0 °C,28 °C,28.0 °C,65,55
2025-10-17 11:00:00,24.2 °C,21.9 °C,25.0 °C,17.6 °C,28 °C,28.0 °C,57,49
2025-10-17 11:30:00,24.7 °C,22.0 °C,25.1 °C,18.4 °C,28 °C,28.0 °C,61,52
2025-10-17 12:00:00,27.8 °C,22.4 °C,28.1 °C,19.4 °C,28 °C,28.0 °C,56,44
2025-10-17 12:30:00,30.8 °C,22.5 °C,31.6 °C,19.8 °C,28 °C,28.0 °C,62,52
2025-10-17 13:00:00,30.1 °C,22.5 °C,31.4 °C,18.6 °C,28 °C,28.0 °C,59,48
2025-10-17 13:30:00,27.4 °C,22.3 °C,29.2 °C,18.1 °C,28 °C,28.0 °C,60,49
2025-10-17 14:00:00,25.3 °C,22.1 °C,26.8 °C,18.4 °C,28 °C,28.0 °C,59,49
2025-10-17 14:30:00,25.8 °C,22.2 °C,27.7 °C,18.8 °C,28 °C,28.0 °C,53,44
2025-10-17 15:00:00,27.8 °C,22.0 °C,29.4 °C,18.6 °C,28 °C,28.0 °C,54,44
2025-10-17 15:30:00,30.4 °C,21.6 °C,32.5 °C,18.5 °C,28 °C,28.0 °C,63,53
2025-10-17 16:00:00,29.9 °C,21.5 °C,32.5 °C,17.4 °C,28 °C,28.0 °C,58,46
2025-10-17 16:30:00,27.6 °C,21.8 °C,29.5 °C,18.3 °C,28 °C,28.0 °C,63,51
2025-10-17 17:00:00,25.0 °C,21.2 °C,27.0 °C,17.7 °C,28 °C,28.0 °C,60,49
2025-10-17 17:30:00,25.1 °C,21.6 °C,26.6 °C,17.7 °C,28 °C,28.0 °C,55,52
2025-10-17 18:00:00,27.1 °C,21.7 °C,29.0 °C,18.1 °C,28 °C,28.0 °C,56,44
2025-10-17 18:30:00,29.0 °C,21.7 °C,30.3 °C,16.7 °C,28 °C,28.0 °C,58,48
2025-10-17 19:00:00,30.4 °C,21.7 °C,31.9 °C,16.2 °C,28 °C,28.0 °C,57,48
2025-10-17 19:30:00,28.0 °C,22.0 °C,30.0 °C,15.8 °C,28 °C,28.0 °C,60,50
2025-10-17 20:00:00,18.9 °C,21.1 °C,19.5 °C,15.0 °C,28 °C,28.0 °C,0,0
2025-10-17 20:30:00,18.9 °C,21.3 °C,19.8 °C,14.9 °C,28 °C,28.0 °C,0,0
2025-10-17 21:00:00,18.8 °C,21.4 °C,19.6 °C,13.7 °C,28 °C,28.0 °C,0,0
2025-10-17 21:30:00,18.6 °C,21.4 °C,19.3 °C,13.1 °C,28 °C,28.0 °C,0,0
2025-10-17 22:00:00,17.8 °C,21.1 °C,18.8 °C,12.2 °C,28 °C,28.0 °C,0,0
2025-10-17 22:30:00,17.8 °C,21.0 °C,19.2 °C,13.0 °C,28 °C,28.0 °C,0,0
2025-10-17 23:00:00,17.1 °C,20.5 °C,18.3 °C,11.9 °C,28 °C,28.0 °C,0,0
2025-10-17 23:30:00,17.4 °C,20.6 °C,18.6 °C,11.8 °C,28 °C,28.0 °C,0,0
2025-10-18 00:00:00,17.8 °C,20.5 °C,18.3 °C,12.1 °C,28 °C,28.0 °C,0,0
2025-10-18 00:30:00,17.1 °C,20.4 °C,17.7 °C,10.9 °C,28 °C,28.0 °C,0,0
2025-10-18 01:00:00,16.9 °C,20.6 °C,17.2 °C,10.4 °C,28 °C,28.0 °C,0,0
2025-10-18 01:30:00,16.7 °C,20.3 °C,16.6 °C,9.4 °C,28 °C,28.0 °C,0,0
2025-10-18 02:00:00,16.2 °C,20.4 °C,15.9 °C,8.0 °C,28 °C,28.0 °C,0,0
2025-10-18 02:30:00,16.1 °C,20.3 °C,16.0 °C,7.4 °C,28 °C,28.1 °C,0,0
2025-10-18 03:00:00,16.0 °C,20.3 °C,16.1 °C,7.1 °C,28 °C,28.2 °C,0,0
2025-10-18 03:30:00,16.1 °C,20.5 °C,16.5 °C,7.0 °C,28 °C,28.2 °C,0,0
2025-10-18 04:00:00,16.4 °C,21.0 °C,17.4 °C,7.1 °C,28 °C,28.2 °C,0,0
2025-10-18 04:30:00,16.8 °C,21.0 °C,17.4 °C,7.4 °C,28 °C,28.1 °C,0,0
2025-10-18 05:00:00,16.6 °C,21.4 °C,17.3 °C,7.1 °C,28 °C,28.2 °C,0,0
2025-10-18 05:30:00,16.9 °C,21.6 °C,17.8 °C,7.8 °C,28 °C,28.0 °C,0,0
2025-10-18 06:00:00,17.7 °C,21.8 °C,18.1 °C,9.0 °C,28 °C,28.0 °C,0,0
2025-10-18 06:30:00,17.7 °C,21.2 °C,17.9 °C,10.3 °C,28 °C,28.0 °C,0,0
2025-10-18 07:00:00,30.8 °C,22.0 °C,33.0 °C,10.7 °C,28 °C,28.0 °C,63,54
2025-10-18 07:30:00,28.5 °C,21.7 °C,30.7 °C,11.7 °C,28 °C,28.0 °C,62,49
2025-10-18 08:00:00,26.1 °C,22.4 °C,28.4 °C,11.8 °C,28 °C,28.0 °C,63,55
2025-10-18 08:30:00,25.7 °C,22.1 °C,28.2 °C,12.1 °C,28 °C,28.0 °C,64,53
2025-10-18 09:00:00,27.7 °C,21.7 °C,30.2 °C,13.0 °C,28 °C,28.0 °C,58,49
2025-10-18 09:30:00,30.9 °C,21.0 °C,32.8 °C,13.4 °C,28 °C,28.0 °C,60,49
2025-10-18 10:00:00,30.9 °C,20.8 °C,32.9 °C,13.2 °C,28 °C,28.0 °C,60,51
2025-10-18 10:30:00,28.0 °C,20.9 °C,30.3 °C,14.3 °C,28 °C,28.0 °C,65,57
2025-10-18 11:00:00,25.7 °C,21.3 °C,28.1 °C,14.4 °C,28 °C,28.0 °C,59,50
2025-10-18 11:30:00,25.9 °C,21.0 °C,26.8 °C,14.6 °C,28 °C,28.0 °C,55,43
2025-10-18 12:00:00,28.1 °C,21.4 °C,29.1 °C,15.8 °C,28 °C,28.0 °C,59,52
2025-10-18 12:30:00,30.2 °C,21.4 °C,31.6 °C,16.5 °C,28 °C,28.0 °C,63,54
2025-10-18 13:00:00,30.5 °C,21.3 °C,31.5 °C,16.9 °C,28 °C,28.0 °C,62,50
2025-10-18 13:30:00,28.4 °C,21.4 °C,30.1 °C,16.3 °C,28 °C,28.0 °C,60,50
2025-10-18 14:00:00,18.1 °C,20.9 °C,18.9 °C,15.8 °C,28 °C,28.0 °C,0,0
2025-10-18 14:30:00,18.7 °C,20.9 °C,19.3 °C,16.3 °C,28 °C,28.0 °C,0,0
2025-10-18 15:00:00,18.4 °C,20.6 °C,19.2 °C,16.8 °C,28 °C,28.0 °C,0,0
2025-10-18 15:30:00,19.2 °C,20.7 °C,19.8 °C,17.0 °C,28 °C,28.0 °C,0,0
2025-10-18 16:00:00,19.3 °C,20.8 °C,19.6 °C,16.6 °C,28 °C,28.0 °C,0,0
2025-10-18 16:30:00,19.3 °C,20.8 °C,19.7 °C,16.2 °C,28 °C,28.0 °C,0,0
2025-10-18 17:00:00,19.6 °C,21.0 °C,19.3 °C,16.1 °C,28 °C,28.0 °C,0,0
2025-10-18 17:30:00,18.5 °C,20.4 °C,18.4 °C,15.1 °C,28 °C,28.0 °C,0,0
2025-10-18 18:00:00,18.4 °C,20.6 °C,18.4 °C,14.9 °C,28 °C,28.0 °C,0,0
2025-10-18 18:30:00,18.0 °C,20.8 °C,18.1 °C,13.7 °C,28 °C,28.0 °C,0,0
2025-10-18 19:00:00,17.7 °C,20.4 °C,18.4 °C,12.8 °C,28 °C,28.0 °C,0,0
2025-10-18 19:30:00,17.2 °C,20.1 °C,18.4 °C,12.6 °C,28 °C,28.0 °C,0,0
2025-10-18 20:00:00,17.4 °C,20.4 °C,18.8 °C,12.6 °C,28 °C,28.0 °C,0,0
2025-10-18 20:30:00,17.4 °C,20.7 °C,18.9 °C,12.4 °C,28 °C,28.0 °C,0,0
2025-10-18 21:00:00,17.7 °C,21.1 °C,18.3 °C,11.2 °C,28 °C,28.0 °C,0,0
2025-10-18 21:30:00,17.0 °C,20.9 °C,18.2 °C,9.7 °C,28 °C,28.0 °C,0,0
2025-10-18 22:00:00,16.7 °C,20.9 °C,17.5 °C,9.3 °C,28 °C,28.0 °C,0,0
2025-10-18 22:30:00,16.5 °C,21.0 °C,17.0 °C,7.9 °C,28 °C,28.0 °C,0,0
2025-10-18 23:00:00,16.3 °C,20.6 °C,17.0 °C,8.2 °C,28 °C,28.0 °C,0,0
2025-10-18 23:30:00,16.4 °C,20.6 °C,17.5 °C,7.3 °C,28 °C,28.1 °C,0,0
2025-10-19 00:00:00,16.8 °C,20.7 °C,18.3 °C,8.3 °C,28 °C,28.0 °C,0,0
2025-10-19 00:30:00,16.8 °C,20.9 °C,18.2 °C,7.4 °C,28 °C,28.1 °C,0,0
2025-10-19 01:00:00,16.9 °C,20.7 °C,18.6 °C,7.6 °C,28 °C,28.1 °C,0,0
2025-10-19 01:30:00,17.0 °C,21.0 °C,18.4 °C,7.0 °C,28 °C,28.2 °C,0,0
2025-10-19 02:00:00,17.1 °C,21.0 °C,18.3 °C,6.8 °C,28 °C,28.2 °C,0,0
2025-10-19 02:30:00,17.6 °C,21.4 °C,18.9 °C,7.0 °C,28 °C,28.2 °C,0,0
2025-10-19 03:00:00,17.7 °C,21.6 °C,18.6 °C,7.6 °C,28 °C,28.1 °C,0,0
2025-10-19 03:30:00,17.5 °C,21.6 °C,18.8 °C,8.3 °C,28 °C,28.0 °C,0,0
2025-10-19 04:00:00,17.4 °C,21.2 °C,18.7 °C,8.8 °C,28 °C,28.0 °C,0,0
2025-10-19 04:30:00,16.8 °C,20.8 °C,18.7 °C,9.6 °C,28 °C,28.0 °C,0,0
2025-10-19 05:00:00,16.9 °C,21.2 °C,18.4 °C,9.3 °C,28 °C,28.0 °C,0,0
2025-10-19 05:30:00,17.2 °C,21.4 °C,18.8 °C,10.0 °C,28 °C,28.0 °C,0,0
2025-10-19 06:00:00,17.5 °C,21.3 °C,18.7 °C,10.1 °C,28 °C,28.0 °C,0,0
2025-10-19 06:30:00,17.6 °C,21.1 °C,18.7 °C,11.1 °C,28 °C,28.0 °C,0,0
2025-10-19 07:00:00,18.2 °C,21.1 °C,19.0 °C,11.5 °C,28 °C,28.0 °C,0,0
2025-10-19 07:30:00,18.3 °C,20.8 °C,19.3 °C,12.3 °C,28 °C,28.0 °C,0,0
2025-10-19 08:00:00,18.0 °C,20.7 °C,19.1 °C,12.9 °C,28 °C,28.0 °C,0,0
2025-10-19 08:30:00,18.7 °C,20.8 °C,19.5 °C,13.8 °C,28 °C,28.0 °C,0,0
2025-10-19 09:00:00,19.0 °C,21.0 °C,20.0 °C,13.7 °C,28 °C,28.0 °C,0,0
2025-10-19 09:30:00,18.3 °C,20.9 °C,20.1 °C,13.2 °C,28 °C,28.0 °C,0,0
2025-10-19 10:00:00,19.1 °C,21.3 °C,20.5 °C,14.4 °C,28 °C,28.0 °C,0,0
2025-10-19 10:30:00,20.0 °C,21.5 °C,21.2 °C,15.7 °C,28 °C,28.0 °C,0,0
2025-10-19 11:00:00,19.3 °C,21.2 °C,20.9 °C,16.0 °C,28 °C,28.0 °C,0,0
2025-10-19 11:30:00,19.1 °C,20.9 °C,21.0 °C,16.9 °C,28 °C,28.0 °C,0,0
2025-10-19 12:00:00,19.3 °C,21.0 °C,20.6 °C,16.2 °C,28 °C,28.0 °C,0,0
2025-10-19 12:30:00,19.1 °C,20.9 °C,19.9 °C,16.2 °C,28 °C,28.0 °C,0,0
2025-10-19 13:00:00,19.5 °C,20.7 °C,20.0 °C,16.5 °C,28 °C,28.0 °C,0,0
2025-10-19 13:30:00,19.5 °C,20.8 °C,20.0 °C,15.8 °C,28 °C,28.0 °C,0,0
2025-10-19 14:00:00,19.6 °C,21.0 °C,20.1 °C,15.1 °C,28 °C,28.0 °C,0,0
2025-10-19 14:30:00,20.1 °C,21.1 °C,20.0 °C,15.5 °C,28 °C,28.0 °C,0,0
2025-10-19 15:00:00,19.7 °C,21.1 °C,19.2 °C,15.4 °C,28 °C,28.0 °C,0,0
2025-10-19 15:30:00,19.2 °C,20.5 °C,19.0 °C,15.3 °C,28 °C,28.0 °C,0,0
2025-10-19 16:00:00,19.7 °C,20.8 °C,19.6 °C,15.1 °C,28 °C,28.0 °C,0,0
2025-10-19 16:30:00,19.2 °C,20.6 °C,18.6 °C,14.3 °C,28 °C,28.0 °C,0,0
2025-10-19 17:00:00,19.4 °C,20.7 °C,18.5 °C,14.2 °C,28 °C,28.0 °C,0,0
2025-10-19 17:30:00,19.2 °C,20.7 °C,18.2 °C,14.1 °C,28 °C,28.0 °C,0,0
2025-10-19 18:00:00,19.2 °C,21.2 °C,18.6 °C,13.6 °C,28 °C,28.0 °C,0,0
2025-10-19 18:30:00,19.1 °C,21.7 °C,19.2 °C,13.0 °C,28 °C,28.0 °C,0,0
2025-10-19 19:00:00,19.0 °C,21.5 °C,18.9 °C,12.7 °C,28 °C,28.0 °C,0,0
2025-10-19 19:30:00,19.0 °C,21.1 °C,18.5 °C,12.8 °C,28 °C,28.0 °C,0,0
2025-10-19 20:00:00,18.7 °C,20.7 °C,18.2 °C,12.4 °C,28 °C,28.0 °C,0,0
2025-10-19 20:30:00,18.3 °C,20.8 °C,17.2 °C,10.8 °C,28 °C,28.0 °C,0,0
2025-10-19 21:00:00,17.5 °C,20.7 °C,17.1 °C,9.7 °C,28 °C,28.0 °C,0,0
2025-10-19 21:30:00,17.4 °C,20.4 °C,17.3 °C,10.0 °C,28 °C,28.0 °C,0,0
2025-10-19 22:00:00,17.1 °C,20.3 °C,17.0 °C,9.2 °C,28 °C,28.0 °C,0,0
2025-10-19 22:30:00,16.8 °C,20.5 °C,16.9 °C,8.8 °C,28 °C,28.0 °C,0,0
2025-10-19 23:00:00,17.2 °C,20.5 °C,17.1 °C,9.6 °C,28 °C,28.0 °C,0,0
2025-10-19 23:30:00,16.9 °C,20.4 °C,16.9 °C,9.6 °C,28 °C,28.0 °C,0,0
2025-10-20 00:00:00,16.2 °C,20.4 °C,16.3 °C,7.7 °C,28 °C,28.1 °C,0,0
2025-10-20 00:30:00,16.6 °C,20.4 °C,16.1 °C,8.3 °C,28 °C,28.0 °C,0,0
2025-10-20 01:00:00,17.0 °C,20.5 °C,16.3 °C,8.1 °C,28 °C,28.0 °C,0,0
2025-10-20 01:30:00,17.4 °C,20.6 °C,16.3 °C,8.1 °C,28 °C,28.0 °C,0,0
2025-10-20 02:00:00,17.0 °C,20.2 °C,16.1 °C,8.2 °C,28 °C,28.0 °C,0,0
2025-10-20 02:30:00,17.3 °C,20.3 °C,16.2 °C,8.6 °C,28 °C,28.0 °C,0,0
2025-10-20 03:00:00,17.3 °C,20.2 °C,16.3 °C,8.4 °C,28 °C,28.0 °C,0,0
2025-10-20 03:30:00,17.0 °C,20.0 °C,16.3 °C,7.5 °C,28 °C,28.1 °C,0,0
2025-10-20 04:00:00,17.0 °C,20.0 °C,16.4 °C,7.9 °C,28 °C,28.0 °C,0,0
2025-10-20 04:30:00,17.3 °C,20.4 °C,16.0 °C,7.3 °C,28 °C,28.1 °C,0,0
2025-10-20 05:00:00,17.7 °C,20.6 °C,16.7 °C,8.7 °C,28 °C,28.0 °C,0,0
2025-10-20 05:30:00,17.4 °C,20.7 °C,16.8 °C,8.8 °C,28 °C,28.0 °C,0,0
2025-10-20 06:00:00,25.9 °C,21.4 °C,26.4 °C,9.2 °C,28 °C,28.0 °C,59,50
2025-10-20 06:30:00,27.8 °C,21.1 °C,28.5 °C,9.2 °C,28 °C,28.0 °C,64,52
2025-10-20 07:00:00,27.8 °C,20.9 °C,29.3 °C,9.9 °C,28 °C,28.0 °C,61,48
2025-10-20 07:30:00,25.4 °C,21.0 °C,27.0 °C,10.8 °C,28 °C,28.0 °C,58,48
2025-10-20 08:00:00,23.2 °C,21.1 °C,25.3 °C,10.9 °C,28 °C,28.0 °C,59,48
2025-10-20 08:30:00,24.4 °C,21.0 °C,25.8 °C,11.8 °C,28 °C,28.0 °C,57,43
2025-10-20 09:00:00,26.6 °C,21.2 °C,28.1 °C,12.4 °C,28 °C,28.0 °C,62,49
2025-10-20 09:30:00,29.3 °C,21.4 °C,30.7 °C,13.0 °C,28 °C,28.0 °C,65,55
2025-10-20 10:00:00,29.5 °C,20.8 °C,31.3 °C,13.1 °C,28 °C,28.0 °C,57,47
2025-10-20 10:30:00,27.4 °C,20.9 °C,29.3 °C,15.1 °C,28 °C,28.0 °C,63,56
2025-10-20 11:00:00,24.9 °C,21.2 °C,27.7 °C,16.2 °C,28 °C,28.0 °C,64,56
2025-10-20 11:30:00,25.6 °C,21.3 °C,27.8 °C,17.0 °C,28 °C,28.0 °C,57,47
2025-10-20 12:00:00,28.3 °C,21.4 °C,30.1 °C,17.9 °C,28 °C,28.0 °C,54,42
